接口标识,接口名称,接口地址,接口请求方式,接口参数
addPowerUsingPOST,新增菜单权限,https://service.bccastle.com/om/syspower/power/addPower,post,"['list', 'powerDesc', 'powerId', 'powerLevel', 'powerLogo', 'powerName', 'powerShoworder', 'powerUrl']"
addPwdPolicyUsingPOST,添加密码策略,https://service.bccastle.com/om/addPwdPolicy,post,"['createBy', 'isEnable', 'isLongTerm', 'lowerCount', 'maxLength', 'minLength', 'numberCount', 'pwdPolicyDesc', 'pwdPolicyId', 'pwdPolicyName', 'specialCount', 'updateBy', 'upperCount']"
addRoleUsingPOST,新增角色,https://service.bccastle.com/om/sysrole/role/addRole,post,"['companyId', 'roleCreatetime', 'roleDesc', 'roleId', 'roleName', 'roleType']"
addSysUserUsingPOST,添加运营平台用户,https://service.bccastle.com/om/sysuser/idssysuser/addSysUser,post,"['createtime', 'creator', 'loginname', 'password', 'status', 'userid', 'userlevel', 'username']"
addUsingPOST,添加企业,https://service.bccastle.com/om/company/addCompany,post,"['address', 'certificateAuthority', 'certificateName', 'certificateNo', 'certificatePic', 'city', 'companyId', 'companyType', 'createUser', 'deleteTime', 'deleteUser', 'description', 'developerNum', 'eName', 'employeesNum', 'ename', 'idsSysComment', 'issuingAuthority', 'lastModify', 'legalPerson', 'limitePeriod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regAddress', 'registeredCode', 'registeredDate', 'registeredFunds', 'registeredType', 'status', 'updateTimeUser', 'validPeriod', 'website']"
addUsingPOST_1,添加企业用户,https://service.bccastle.com/om/company/user/addUser,post,"['adAccountName', 'address', 'changPwdAt', 'company', 'consumeCompanyid', 'departmentNumber', 'displayName', 'employeeNumber', 'employeeType', 'fax', 'givenName', 'headPortrait', 'isPassRemind', 'loginInterceptFlagFive', 'loginInterceptFlagFour', 'loginInterceptFlagOne', 'loginInterceptFlagThree', 'loginInterceptFlagTwo', 'loginName', 'loginType', 'mail', 'mobile', 'otpKey', 'password', 'phone', 'pwdPolicy', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgCodePath', 'spOrgNamePath', 'spOrgNumber', 'spPasswordModifyRequired', 'spPinyinShortName', 'spPositionNumber', 'spPositionStatus', 'spUpdateDate', 'title', 'uid']"
addUsingPOST_2,添加服务商企业,https://service.bccastle.com/om/dev/addCompany,post,"['createDateTime', 'address', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'certificateauthority', 'certificatename', 'certificateno', 'certificatepic', 'city', 'companyMail', 'companyPhone', 'companyid', 'companytype', 'createuser', 'deleteuser', 'description', 'developernum', 'employeesnum', 'ename', 'idsSysComment', 'issuingauthority', 'legalperson', 'limiteperiod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regaddress', 'registeredcode', 'registereddate', 'registeredfunds', 'registeredtype', 'status', 'validperiod', 'website']"
addUsingPOST_3,添加用户,https://service.bccastle.com/om/dev/user/addUser,post,"['adAccountName', 'address', 'changPwdAt', 'company', 'consumeCompanyid', 'departmentNumber', 'displayName', 'employeeNumber', 'employeeType', 'fax', 'givenName', 'headPortrait', 'isPassRemind', 'loginInterceptFlagFive', 'loginInterceptFlagFour', 'loginInterceptFlagOne', 'loginInterceptFlagThree', 'loginInterceptFlagTwo', 'loginName', 'loginType', 'mail', 'mobile', 'otpKey', 'password', 'phone', 'pwdPolicy', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgCodePath', 'spOrgNamePath', 'spOrgNumber', 'spPasswordModifyRequired', 'spPinyinShortName', 'spPositionNumber', 'spPositionStatus', 'spUpdateDate', 'title', 'uid']"
addUsingPOST_4,添加应用,https://service.bccastle.com/om/add,post,"['loginName', 'appSalesModel', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'companyId', 'companyName', 'createTime', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'priceRatio', 'securityLevel', 'spCode', 'spUrl', 'status', 'storeType', 'type', 'typeName', 'ud', 'userGroup', 'versions']"
ajaxCompanyListUsingGET,分页查询企业信息,https://service.bccastle.com/om/company/getCompanyList,get,"['name', 'createTime', 'regAddress', 'status', 'page']"
