接口标识,接口名称,接口地址,接口请求方式,接口参数
approvalCompanyMiddleUsingPOST,服务商中间表审批,https://service.bccastle.com/om/CompanyMiddleController/approvalCompanyMiddle,post,"['companyId', 'status']"
queryMiddleCompanyUsingPOST,分页查询服务商中间表,https://service.bccastle.com/om/CompanyMiddleController/queryMiddleCompany,post,"['province.country.countryId', 'province.country.name', 'province.country.description', 'province.country.valid', 'province.country.area', 'province.country.chinaArea', 'province.country.sortValue', 'province.country.countryCode', 'province.country.currency', 'province.country.callingCode', 'province.provinceid', 'province.provinceName', 'province.provinceNameen', 'city.province.country.countryId', 'city.province.country.name', 'city.province.country.description', 'city.province.country.valid', 'city.province.country.area', 'city.province.country.chinaArea', 'city.province.country.sortValue', 'city.province.country.countryCode', 'city.province.country.currency', 'city.province.country.callingCode', 'city.province.provinceId', 'city.province.provinceName', 'city.province.provinceNameen', 'city.cityid', 'city.cityName', 'city.postCode', 'city.zoneCode', 'city.city', 'idsSysComment[0].commentId', 'idsSysComment[0].commentType', 'idsSysComment[0].dataId', 'idsSysComment[0].commentContent', 'idsSysComment[0].operation', 'idsSysComment[0].createUser', 'companyid', 'name', 'ename', 'address', 'registereddate', 'companytype', 'employeesnum', 'developernum', 'website', 'regaddress', 'legalperson', 'registeredtype', 'registeredcode', 'issuingauthority', 'registeredfunds', 'certificatename', 'certificateno', 'certificateauthority', 'status', 'description', 'createuser', 'deleteuser', 'certificatepic', 'limiteperiod', 'validperiod', 'logo', 'range', 'pwdPolicyId', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'companyPhone', 'companyMail', 'address', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'certificateauthority', 'certificatename', 'certificateno', 'certificatepic', 'city', 'companyMail', 'companyPhone', 'companyid', 'companytype', 'createuser', 'deleteuser', 'description', 'developernum', 'employeesnum', 'ename', 'idsSysComment', 'issuingauthority', 'legalperson', 'limiteperiod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regaddress', 'registeredcode', 'registereddate', 'registeredfunds', 'registeredtype', 'status', 'validperiod', 'website', 'page']"
PageInfoPwdPolicyUsingPOST,分页查询密码策略,https://service.bccastle.com/om/PageInfoPwdPolicy,post,['p']
addPwdPolicyUsingPOST,添加密码策略,https://service.bccastle.com/om/addPwdPolicy,post,"['pwdPolicyId', 'pwdPolicyName', 'minLength', 'maxLength', 'numberCount', 'upperCount', 'lowerCount', 'specialCount', 'pwdPolicyDesc', 'isEnable', 'isLongTerm', 'createBy', 'updateBy', 'createBy', 'isEnable', 'isLongTerm', 'lowerCount', 'maxLength', 'minLength', 'numberCount', 'pwdPolicyDesc', 'pwdPolicyId', 'pwdPolicyName', 'specialCount', 'updateBy', 'upperCount']"
applicationManagementPageListUsingPOST,获取应用分页信息,https://service.bccastle.com/om/applicationManagementList,post,"['entityId', 'chainCodes', 'entityDescriptorContent', 'authMethodIds', 'securityLevel', 'spCode', 'spUrl', 'description', 'ud', 'enabled', 'type', 'idpEntityId', 'avatar', 'status', 'companyId', 'createTime', 'companyName', 'typeName', 'appkey', 'appsecret', 'appSalesModel', 'priceRatio', 'storeType', 'operationSystem', 'userGroup', 'feature', 'guide', 'versions', 'isAuthenticationIntegrated', 'mode', 'appSalesModel', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'companyId', 'companyName', 'createTime', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'priceRatio', 'securityLevel', 'spCode', 'spUrl', 'status', 'storeType', 'type', 'typeName', 'ud', 'userGroup', 'versions', 'p']"
approveAppsUsingPOST,应用审批通过,https://service.bccastle.com/om/approveApps,post,['entityId']
addUsingPOST,添加企业,https://service.bccastle.com/om/company/addCompany,post,"['province.country.countryId', 'province.country.name', 'province.country.description', 'province.country.valid', 'province.country.area', 'province.country.chinaArea', 'province.country.sortValue', 'province.country.countryCode', 'province.country.currency', 'province.country.callingCode', 'province.provinceId', 'province.provinceName', 'province.provinceNameen', 'city.cityId', 'city.cityName', 'city.zoneCode', 'city.city', 'idsSysComment.commentId', 'idsSysComment.commentType', 'idsSysComment.dataId', 'idsSysComment.commentContent', 'idsSysComment.operation', 'idsSysComment.createUser', 'companyId', 'name', 'eName', 'address', 'registeredDate', 'companyType', 'employeesNum', 'developerNum', 'website', 'regAddress', 'legalPerson', 'registeredType', 'registeredCode', 'issuingAuthority', 'registeredFunds', 'certificateName', 'certificateNo', 'certificateAuthority', 'status', 'description', 'createUser', 'lastModify', 'updateTimeUser', 'deleteTime', 'deleteUser', 'certificatePic', 'limitePeriod', 'validPeriod', 'logo', 'range', 'pwdPolicyId', 'address', 'certificateAuthority', 'certificateName', 'certificateNo', 'certificatePic', 'city', 'companyId', 'companyType', 'createUser', 'deleteTime', 'deleteUser', 'description', 'developerNum', 'eName', 'employeesNum', 'ename', 'idsSysComment', 'issuingAuthority', 'lastModify', 'legalPerson', 'limitePeriod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regAddress', 'registeredCode', 'registeredDate', 'registeredFunds', 'registeredType', 'status', 'updateTimeUser', 'validPeriod', 'website']"
deleteUsingPOST,删除企业,https://service.bccastle.com/om/company/delete,post,['companyIds']
exportCompanyDateUsingGET,公司-导出,https://service.bccastle.com/om/company/download/exportCompanyDate,get,"['companyName', 'name', 'status']"
exportUserDateUsingGET,企业管理员-导出,https://service.bccastle.com/om/company/download/exportUserDate,get,"['username', 'userCompanyName', 'mobile', 'accValidCode']"
getUsingGET,查询企业信息,https://service.bccastle.com/om/company/get,get,['companyId']
getCitiesByProvinceUsingGET,根据省查询市列表,https://service.bccastle.com/om/company/getCity,get,['provinceId']
getCompanyByIdUsingGET,根据企业ID查询企业信息,https://service.bccastle.com/om/company/getCompanyById,get,['companyId']
ajaxCompanyListUsingGET,分页查询企业信息,https://service.bccastle.com/om/company/getCompanyList,get,"['name', 'createTime', 'regAddress', 'status', 'page']"
getProvinceInfoUsingGET,查询省列表,https://service.bccastle.com/om/company/getProvince,get,[]
getSimpleCompanyUsingGET,查询企业基本信息,https://service.bccastle.com/om/company/getSimpleCompany,get,[]
importCompanyUsingPOST,公司导入,https://service.bccastle.com/om/company/importCompany,post,"['fileZip', 'loginName']"
importServiceUserDateUsingPOST,服务商用户-导入,https://service.bccastle.com/om/company/importServiceUserDate,post,['file']
importUserDateUsingPOST,企业用户-导入,https://service.bccastle.com/om/company/importUserDate,post,['file']
queryCodeNameUsingPOST,查询所对应的所属行业,https://service.bccastle.com/om/company/queryCodeName,post,['typeValueCode']
